GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pzic_products_proposals,com.bbva.pzic.products.proposals.facade.dto,Status,0,17,0,0,0,7,0,5,0,5
pzic_products_proposals,com.bbva.pzic.products.proposals.facade.dto,ProcessTasks,0,24,0,0,0,10,0,7,0,7
pzic_products_proposals,com.bbva.pzic.products.proposals.dao.impl,ProposalsaDAOV0ProcessTasks,15,0,0,0,4,0,3,0,3,0
pzic_products_proposals,com.bbva.pzic.products.proposals.dao.apx.mapper.impl,ApxListProcessTaskProposalsMappers,2,69,1,3,1,20,1,6,0,5
pzic_products_proposals,com.bbva.pzic.products.proposals.dao.model.ppcutge1_1,Status_Roo_JavaBean,19,22,4,0,1,7,4,6,2,6
pzic_products_proposals,com.bbva.pzic.products.proposals.dao.model.ppcutge1_1,RespuestaTransaccionPpcutge1_1,28,26,0,0,0,2,8,8,8,8
pzic_products_proposals,com.bbva.pzic.products.proposals.dao.model.ppcutge1_1,TransaccionPpcutge1_1,9,11,0,0,2,2,2,2,2,2
pzic_products_proposals,com.bbva.pzic.products.proposals.dao.model.ppcutge1_1,PeticionTransaccionPpcutge1_1_Roo_Serializable,19,9,4,0,1,2,4,3,2,3
pzic_products_proposals,com.bbva.pzic.products.proposals.dao.model.ppcutge1_1,PeticionTransaccionPpcutge1_1,0,19,0,0,0,2,0,6,0,6
pzic_products_proposals,com.bbva.pzic.products.proposals.dao.model.ppcutge1_1,Status,0,19,0,0,0,2,0,6,0,6
pzic_products_proposals,com.bbva.pzic.products.proposals.dao.model.ppcutge1_1,Status_Roo_Serializable,19,9,4,0,1,2,4,3,2,3
pzic_products_proposals,com.bbva.pzic.products.proposals.dao.model.ppcutge1_1,RespuestaTransaccionPpcutge1_1_Roo_Serializable,19,9,4,0,1,2,4,3,2,3
pzic_products_proposals,com.bbva.pzic.products.proposals.dao.model.ppcutge1_1,PeticionTransaccionPpcutge1_1_Roo_JavaBean,19,22,4,0,1,7,4,6,2,6
pzic_products_proposals,com.bbva.pzic.products.proposals.dao.model.ppcutge1_1,RespuestaTransaccionPpcutge1_1_Roo_JavaBean,51,30,4,0,13,10,12,8,10,8
pzic_products_proposals,com.bbva.pzic.products.proposals.facade.impl,SrvProposalsV0Processtasks,58,0,0,0,14,0,3,0,3,0
pzic_products_proposals,com.bbva.pzic.products.proposals.dao.apx,ApxListProcessTasksProposals,19,0,0,0,4,0,2,0,2,0
pzic_products_proposals,com.bbva.pzic.products.proposals.business.dto,InputListProcessTasksProposals,0,17,0,0,0,7,0,5,0,5
pzic_products_proposals,com.bbva.pzic.products.proposals.business.impl,SrvIntProposalsV0Processtasks,28,0,0,0,6,0,3,0,3,0
pzic_products_proposals,com.bbva.pzic.products.proposals.facade.mapper.impl,ListProcessTaskProposalsMapper,0,33,0,2,0,11,0,5,0,4
pzic_products_proposals,com.bbva.pzic.products.proposals.util.mappers,ObjectMapperHelper,29,34,0,0,5,8,5,4,5,4
